"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AFG","Afghanistan",,,0.11,,,,0.1899,,,,0.582,0.5996,0.6699,0.6715,0.8204,0.2365,0.2518,0.2414,0.5341,0.4459,0.4149,0.4264,0.1755,0.4461,,
"ALB","Albania",5.963,5.9903,5.9967,5.4827,4.0766,5.3991,5.142,4.8385,4.7905,4.7779,3.6076,5.3451,5.3962,,5.4191,5.253,5.3978,5.6875,5.5665,,,4.8659,,2.1584,6.7351,
"DZA","Algeria",0.846,,,1,,,,3.2999,,,1.0242,,3.1251,,,,,,,,,4.0755,2.2228,3.267,,
"AND","Andorra",4.6949,,5.1633,5.4446,3.1677,5.8868,5.7801,6.0286,6.2705,6.042,6.6033,6.2098,6.3966,,6.8284,,,,,,7.3461,,,,,
"AGO","Angola",,,0.9755,,,,,,,1.0475,,,,,1.4457,,,,0.0012,,,,0.2146,0.4075,,
"ATG","Antigua and Barbuda",0.76,1.141,,,3.2797,,,,,,,,5.0119,0.5269,,,,,4.6011,4.6868,4.5085,4.4868,7.2642,4.5171,,
"ARG","Argentina",,,,3.0169,,,3.2481,,,3.1857,,,,,,,,,3.9385,,3.99,6.5834,6.5897,,,
"ARM","Armenia",0.686,0.6625,0.6533,0.673,0.6928,8.6096,8.0706,7.6928,7.3945,7.3213,7.5527,7.7014,7.8143,7.9413,7.9478,8.0815,8.1665,8.1856,8.104,8.048,7.8678,4.5213,9.2539,4.3683,,
"AUS","Australia",2.4,2.5313,,,,12.5815,13.1688,12.5634,12.627,12.952,12.5422,2.8338,13.154,13.2683,13.8581,13.7446,14.1002,13.4291,15.2928,15.5421,15.6902,15.9725,18.2191,16.5729,13.2416,
"AUT","Austria",8.5951,8.7714,8.9686,9.1798,9.3297,9.5434,9.7033,9.8767,9.966,10.3059,10.5144,10.8104,10.965,11.1795,11.3794,11.5227,11.6463,11.7147,11.8484,12.0166,12.1173,12.1417,12.2596,12.3005,,
"AZE","Azerbaijan",13.9104,13.5831,13.0555,12.5451,12.4163,12.2355,12.0989,11.9142,11.8427,11.7484,11.8241,11.8225,11.9462,11.8452,11.7828,11.0142,10.397,10.2903,10.7188,9.8798,,,,,,
"BHS","Bahamas",1.49,1.518,,5.6262,,,,,,,,,,6.8024,,,6.3626,,,,,,1.9387,4.5669,,
"BHR","Bahrain",,,1,,,4.0009,4.1685,3.9491,3.8731,0.9677,3.7303,3.7323,1.0155,3.552,3.4925,3.4088,3.4424,3.4372,3.4578,3.4496,3.4201,,,,,
"BGD","Bangladesh",0.201,,0.2,,,,0.2498,,0.5468,0.2809,0.5923,0.6008,0.4918,0.5043,0.5258,0.5465,0.5771,0.6068,0.6318,0.7447,0.7608,0.7613,0.8596,0.9932,1.0283,
"BRB","Barbados",6.4587,,,,,7.1713,7.3395,,,,6.5146,,,,,,,,,,,,2.4878,3.06,,
"BLR","Belarus",10.93,11.0696,11.2008,12.649,12.9402,12.9646,13.0577,13.194,13.103,13.2311,13.3561,13.4672,13.6318,13.5168,13.7859,13.8643,15.3649,15.7506,15.7068,15.9943,16.1932,,,,,
"BEL","Belgium",3.5,3.6,3.7,3.7,2.7929,2.8204,2.8397,2.8497,8.6744,12.0332,12.2567,12.3988,12.5391,12.6573,12.7896,13.0016,13.312,13.5653,13.8667,14.1637,14.8218,3.0679,3.0709,3.1146,5.9556,
