"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AFG","Afghanistan",0.994081618844148,0.994081618844148,0.994081618844148,0.994081618844148,0.994081618844148,0.994081618844148,0.969216212879273,0.915316373350354,0.861469429453364,0.807651653072148,0.753839292001097,0.700008025523388,0.6461310661617,0.581981803023352,0.538130587017562,0.578950655427599,0.573676258957565,0.312209011768202,0.320386554089836,0.106090435653235,0.287959753915924,0.0232388881680719,0.0232388881680719,0.0341900714149687,0.0232388881680719,0.0232388881680719
"ALB","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101036968420625,0,0.000505223385235818,0.000202043102334979,0.00111142977850701,0.00111142977850701,0,0,0
"DZA","Algeria",0.0103756571873651,0.0103756571873651,0.0103756571873651,0.0103756571873651,0.0103756571873651,0.0103756571873651,0.0104385595801562,0.0105781628072941,0.0107705701264197,0.0109921931402358,0.0112192121926503,0.0114273451099729,0.0115897658717513,0.00707266487570956,0.0116680855176769,0.0115291760669301,0.0112351690496443,0.0124816539656139,0.010081573083814,0.00922468215456696,0.00821785843858134,0.00656497472997213,0.00368295051516885,0.00305300155207096,0.00505192550729692,0.0019790356986823
"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO","Angola",0.765743145862341,0.765743145862341,0.765743145862341,0.765743145862341,0.765743145862341,0.765743145862341,0.808308081167507,0.744127231931798,0.733410487290385,0.722722900528965,0.712040748349276,0.701339671491362,0.631490688412114,0.621487858948688,0.668852821116489,0.657804778976772,0.66079187177169,0.635215766571476,0.623629585211078,0.687061868992381,0.586023358846442,0.587911471294761,0.575785531902105,0.552781679758077,0.549217056660719,0.536609366650726
"ATG","Antigua and Barbuda",0.0339105566156302,0.0321859826799425,0.0304957121324802,0.0288466827371541,0.0272465260342659,0.0233473485438774,0.0223774491491505,0,0.0206439332066438,0.0198328315192084,0.078810068748338,0,0,0,0.0153449462178581,0.0141733120658588,0.0550456064208914,0,0,0,0,0,0,0,0,0
"ARG","Argentina",0.0622956467939198,0.0589565781099285,0.055651889900428,0.0523884428430634,0.049173868478138,0.0426050394348828,0.0453555544804432,0.0381029702606479,0.0359430901826913,0.0338125028856907,0.0316872345410232,0.0295430800612646,0.0273532134259601,0.0250903460970619,0.0227270353639879,0.0119225472806715,0.00914042686618341,0.00778016262207738,0.00664152139178742,0,0.00378501273092325,0.00151983281405406,0,0.000105299838912613,0,0
"ARM","Armenia",0.0111142206988001,0.0111142206988001,0.0111142206988001,0.0111142206988001,0.0111142206988001,0.0111142206988001,0,0.0202077020291877,0.00818278418769936,0.00819188036704919,0.00202073936841264,0.00820197866785266,0.00815194968142924,0.00802876582888039,0.00780521565842228,0.00202073936841264,0.00398297026117786,0.00374885927232095,0.00586025208916833,0.00293012604458366,0,0.00202073936841264,0.00303118613888428,0.00101036968420625,0,0
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE","Azerbaijan",0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0110311217044021,0.0139250942903845,0,0.010836710142369,0.00934809726591283,0.00786488042805411,0.00505192550729692,0.00481496232661059,0.00319414650452231,0.00147288727825809,0.000567894519229843,0.00101036968420625,0,0,0,0,0,0,0,0,0
"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD","Bangladesh",0.825100225665586,0.796745372575007,0.784058838732481,0.74014555286557,0.711915174822491,0.687061868992381,0.656420463817775,0.627943525353933,0.599519468068344,0.600168765684127,0.563491775709074,0.499887011408323,0.54055602928077,0.457345606685756,0.428718041658784,0.452046311351906,0.408195596406844,0.341959068452805,0.388998264061862,0.379904782731475,0.253568872778871,0.243300750932123,0.121246212175126,0.0828515474851633,0.078810068748338,0.0383946646899627
"BRB","Barbados",0,0,0,0,0,0,0,0,0,3.29158354429253e-05,0.000197495012660567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR","Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ","Belize",0.253451084964919,0.244435460762864,0.2354542170353,0.226514137373606,0.217623007490616,0.21218087130647,0.200086961257202,0.191675924636839,0.183317846280994,0.174988829447308,0.166665285738485,0.0910505197886547,0.149934713895114,0.141473494115795,0.132911830932301,0.101874896128516,0.0840465387756615,0.0909759002834806,0.0890542938527266,0.0872542524629426,0.0828515474851633,0.0684807404066441,0.0587133709417228,0.0836598740670347,0.0735560230524409,0.029166436567175
"BEN","Benin",0.863879261747773,0.863879261747773,0.822558286783376,0.812569332847772,0.802629290147738,0.792838235927689,0.789110768094091,0.773794054721037,0.764363166805788,0.754961436770532,0.745565141317006,0.728487662006528,0.726689008169527,0.717155036645504,0.707520640988873,0.664833389051647,0.637552983603618,0.622397207081727,0.659870189836143,0.665843797278987,0.711109025927625,0.635580268978721,0.661802241455896,0.613840091987908,0.602910030377806,0.591974958160435
"BTN","Bhutan",0.695650146209098,0.695650146209098,0.695650146209098,0.695650146209098,0.695650146209098,0.695650146209098,0.605775057071028,0.566029070143777,0.59511684017683,0.486672074340472,0.406092837251753,0.407336200173963,0.28492856777704,0.327816899238279,0.287920362834164,0.269945464490262,0.184222607781225,0.0858827336240476,0.126791798127807,0.0860493170441716,0.0451569802600636,0.00414469724656408,0.0232388881680719,0.000259009852669031,0,0
"BOL","Bolivia, Plurinational State of",0.362813832596071,0.293011679423221,0.330088457886993,0.290990909220302,0.293720080625556,0.303488936308746,0.310607159167469,0.363770396066836,0.279876642269743,0.243045055788878,0.320411221694852,0.240357674394906,0.200495055947688,0.154841640136675,0.133718461616328,0.122394874619954,0.117851872638645,0.0971245320925401,0.106033006385307,0.100647220261371,0.0856521686034124,0.0828515474851633,0.0828515474851633,0.0727476964705695,0.0497109284910977,0.0247127775677838
"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0.00606229519150316,0.0151557765218907,0,0,0,0.00619087508264943,0.00303118613888428,0,0,0,0.00297275474950225,0,0.00505192550729692,0,0.00303118613888428,0,0,0,0,0
"BWA","Botswana",0.84746033040496,0.824850639608896,0.80227529074419,0.779741163760055,0.75725594801149,0.743552707993719,0.759809604006083,0.73758112406535,0.676118317285786,0.653730153145707,0.631347423587357,0.608945769350785,0.586498441501799,0.560763731309958,0.572282115299693,0.484805199158347,0.472456056483429,0.444379349910973,0.424443376968291,0.404628969066579,0.382632827130592,0.361969892159458,0.329385527658506,0.321006790183459,0.303522314661784,0.282960786673147
"BRA","Brazil",0.0835730134898134,0.0720698094212514,0.0671487894076995,0.0586648585147226,0.0529142719174684,0.0566652659489954,0.0402484352069225,0.033817667665491,0.0305126711109281,0.0326848849913926,0.0293667066853995,0.0243066871202066,0.0189408663390792,0.0148867454546835,0.0115492955822718,0.0141454068376845,0.0067828205167704,0.00485497009849694,0.00429262579039529,0.0035338656773531,0.00292102986523484,0.00303118613888428,0.00202073936841264,0.00303118613888428,0.00202073936841264,0
"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR","Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303118613888428
"BFA","Burkina Faso",0.943443725599359,0.938416014815267,0.933422655598317,0.928470508626154,0.940668529458686,0.918692453077653,0.914182781270466,0.909749742847143,0.895201203747326,0.901018605508563,0.896673050360998,0.89230857053521,0.887898407461227,0.883415176243166,0.882773461988769,0.878024649313891,0.860763088000981,0.857635139327108,0.854728784759702,0.816391154270555,0.847945742619917,0.842246350295647,0.836456979027767,0.864889650703545,0.824728303705269,0.818843981429644
"BDI","Burundi",0.970980082502467,0.970980082502467,0.970980082502467,0.970980082502467,0.989460538111494,0.985496923729838,0.982120386302837,0.978820484668646,0.975573478666383,0.972355632953057,0.977978847184219,0.983508856893343,0.96263484286417,0.961886614662176,0.955834239509487,0.956834689154879,0.94852241449452,0.944710069864523,0.940668528495107,0.939658144357226,0.925233357621168,0.915930163105011,0.916419285096504,0.900405605888129,0.895640431653362,0.891810795610395
"KHM","Cambodia",0.821746203016916,0.821746203016916,0.821746203016916,0.821746203016916,0.921268762798571,0.842661170762813,0.862618525508436,0.826625358160406,0.815380784586349,0.754774001515542,0.80325615566021,0.682943727964341,0.646973464873,0.743643438528419,0.574786339726421,0.696155331051202,0.502088017009017,0.465478708775227,0.428669053336947,0.443559074957922,0.354539855356078,0.30771973891407,0.110435094672961,0.191208781866846,0.161661616233501,0.137412358381223
"CMR","Cameroon",0.64515338105414,0.633578916806126,0.622038794489469,0.599158365165414,0.599089904852868,0.596127209861036,0.543587176876521,0.565407446497371,0.554468905398045,0.534493734089267,0.532655496454841,0.515296401744285,0.523379474847333,0.49972235514484,0.488580267760999,0.4773104098918,0.467808294267067,0.454277688941276,0.442469730394531,0.436486371539081,0.418343964739865,0.406086130746639,0.39373833708137,0.38192556064302,0.368892816964093,0.356450053019512
"CAN","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV","Cape Verde",0.420094593833352,0.420094593833352,0.420094593833352,0.420094593833352,0.420094593833352,0.420094593833352,0.402522085796274,0.418299447421438,0.367583159853402,0.350169295351085,0.333427083481596,0.31533354937482,0.297860482620464,0.280314415172513,0.262667904320387,0.190962799593077,0.178269852173246,0.168140562690979,0.158232896222529,0.148446717708783,0.137838337085345,0.125844176663861,0.114264817437976,0.096878241473708,0.0868931033082538,0.0589888772552465
"CAF","Central African Republic",0.980073548415602,0.976689610707095,0.971685228154154,0.96672206266389,0.961807822862873,0.94976199537182,0.952428886272798,0.947973068857968,0.943570151892958,0.93919639280794,0.934828053850976,0.9315228356734,0.926007862603974,0.934808295677506,0.916895427688014,0.911367359589207,0.906854498337778,0.900567747212194,0.894502609464645,0.888558959671799,0.881793088497694,0.873641437525544,0.865904664835258,0.86041994812511,0.865900030023534,0.854128196028042
"TCD","Chad",0.987146244125817,0.987146244125817,0.987146244125817,0.98592986910522,0.982031539563754,0.978256054213479,0.974747663137986,0.971315905446357,0.967937043386657,0.975021622908305,0.961243064791077,0.957879868105929,0.954470988172586,0.950989044913056,0.947406672703027,0.945720454002404,0.919652523973506,0.931217328348854,0.928275567096044,0.925455308251614,0.932585450574167,0.916784568002189,0.900253129254623,0.908194344357263,0.925512756791108,0.898433247787211
"CHL","Chile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","China",0.030091317582747,0.030091317582747,0.030091317582747,0.030091317582747,0.030091317582747,0.030091317582747,0.0275553336145613,0.0250958963081899,0.0226894172663389,0.0203120768329119,0.0179401324380823,0.0155493019081629,0.0131127592226982,0.010603215843638,0.00799315197413782,0.00303118613888428,0.0015284664758097,0.000384660465719351,3.59221998051238e-05,0,0,0,0,0,0,0
"COL","Colombia",0.0889138889284257,0.0676644739394082,0.0647766682546797,0.0619301037220874,0.0591324889681994,0.0484985157045565,0.0154588797185263,0.0514740455596239,0.0492123345247101,0.0469797620982215,0.0323322924121941,0.0425066002736145,0.0402149026813537,0.0322639939808057,0.0398371799795448,0.0324435278935636,0.0334073374733018,0.0299864802614286,0.0224364201423921,0.0223200198812223,0.01831931977894,0.016166146206097,0.0151557765218907,0.0151557765218907,0.00246614381148385,0
"COM","Comoros",0.718383807137621,0.718383807137621,0.679358561377182,0.655795217116882,0.632280784092153,0.60910707236171,0.585834767297468,0.557732583714207,0.539496324386531,0.516382701400182,0.493274512995562,0.470147399912719,0.446974613217464,0.423728748742348,0.400382440863057,0.305058412677895,0.308917119878804,0.310188195313524,0.30545509860106,0.281262961671648,0.256920891955497,0.232458876009954,0.207906900392369,0.183294874573822,0.158652939284194,0.134005993387297
"COG","Congo",0.716463919730591,0.716463919730591,0.716463919730591,0.716463919730591,0.716463919730591,0.716463919730591,0.706627056997164,0.696866818011819,0.687159498747858,0.677481318092323,0.668874944874739,0.658116901266491,0.64837955690205,0.638569134757749,0.635532244235205,0.60836681295243,0.598939201203473,0.590064914669533,0.580527146646925,0.571553418830264,0.561757450360778,0.550575740636379,0.539808870650712,0.531294075916748,0.521283190938559,0.510071687372477
"COD","Congo, the Democratic Republic o",0.942689301588761,0.942689301588761,0.942689301588761,0.942689301588761,0.942689301588761,0.942689301588761,0.936481852958991,0.930404583760381,0.92438021501159,0.918385004142791,0.94976199537182,0.906386517254646,0.856806567964714,0.894204680683592,0.887976794557636,0.881621109038972,0.875110248867504,0.854785799688951,0.861523042951141,0.873983112762366,0.847225660540677,0.838196912401891,0.829359357473545,0.822773858525338,0.817401543226328,0.817401543226328
"CRI","Costa Rica",0.0309177594370515,0.0309177594370515,0.0309177594370515,0.0309177594370515,0.0309177594370515,0.0309177594370515,0.0176839747772438,0.015062964658018,0.0131764324781459,0.0105607413112512,0.00956779312308789,0.00861331098149552,0.00790126514545329,0.00743705165355659,0.00596323934010996,0.0101469422371066,0.00775626587971789,0.00501862424052518,0.00441018234554955,0.00647362750514617,0.00596323934010996,0.00505192550729692,0.00404155582309067,0.00303118613888428,0.00293012604458366,0.00101036968420625
"CIV","Cote d'Ivoire",0.569541428753006,0.559266214969817,0.549025381661117,0.538825789504555,0.52337948255596,0.518433966929801,0.508669719458641,0.491047143892007,0.489347353190734,0.479741787797465,0.415268261282553,0.402425766507313,0.450857833850857,0.401122892988002,0.431281815225746,0.421315755911047,0.446590222553674,0.446590222553674,0.390386626249808,0.384956708238772,0.377884043363062,0.360707450386494,0.347572490319281,0.331937853915015,0.318679941254051,0.306357624599587
"HRV","Croatia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB","Cuba",0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0381293337635078,0.0454673295656722,0.0352318152093047,0.0338387122160211,0.0324510052613338,0.0310443350852914,0.029592029839968,0.0280666468147848,0.0264408203854269,0.0246872620138457,0.0227784519031939,0.020687101515422,0.0183954039231611,0.0159237869868134,0.0133021601774627,0.0105606642249858,0.00772913151420018,0.00483762568871928,0.00202073936841264,0
"CYP","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE","Czech Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK","Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI","Djibouti",0.383946338554566,0.383946338554566,0.441593914787061,0.441313436409402,0.441081907810446,0.440730471525232,0.440880095966909,0.508223698325443,0.441385550610942,0.441693895673643,0.442007636774941,0.449621370149425,0.442551634551812,0.442727738125747,0.442803398295508,0.442751249436778,0.442543925925244,0.458714851479813,0.441563812600316,0.43831678491754,0.428619872299447,0.417537141340175,0.402133262672207,0.39845358832333,0.39190888728123,0.386299705159367
"DMA","Dominica",0.252596275364846,0.252596275364846,0.252596275364846,0.252596275364846,0.205897107273682,0.192460046131288,0.179048192197769,0.12427739831401,0.152430535918883,0.13917740260639,0.125929588246229,0.112662887750978,0.099350552186446,0.0919450288155507,0.0724792820934882,0.0588656163164314,0.0450967758865712,0.0311453180933256,0.0169935901818555,0.00266186584003402,0.00172758030004887,0.000166352161326882,0,0,0,0
"DOM","Dominican Republic",0.153670391416004,0.145951358202608,0.138266705463702,0.130623216790667,0.0909346591313445,0.113517466092254,0.103146588253361,0.103566322969962,0.109386258942183,0.0978399697242724,0.0996115662820224,0.0998447522356909,0.0315609672378469,0.0244897670011853,0.0216448983664378,0.0187384378054166,0.0212294804807137,0.021551007294846,0.0163090641426587,0.0154490126765199,0.0145458699878671,0.0111142206988001,0,0.0111142206988001,0.0101038510145938,0
"ECU","Ecuador",0.1027544774753,0.0803117092036936,0.0764879991674012,0.0734889256078042,0.0700051986087804,0.063328294408907,0.0603743487082292,0.0574971038418974,0.0507916008496,0.0518775150741678,0.0421062912959635,0.0372300453881404,0.0322048688150324,0.0282243653143572,0.035657870999692,0.0256421295867659,0.0315978144728392,0.0283419989557778,0.0198573449516937,0.010345670630017,0.0118631137698358,0.0131350371534781,0.00808311164618119,0.0131350371534781,0.0091945414246882,0.011619444084036
"EGY","Egypt",0.0454673295656722,0.0388561030762955,0.0363489493714715,0.0338830368187837,0.0314660740448003,0.0232388881680719,0.0268350395480913,0.0248940844646521,0.0121245903830065,0.0211470752627068,0.00606229519150316,0.00969968772365863,0.0155030501487581,0.00202073936841264,0.0114202531735315,0.00611733478519533,0.00553525639308066,0.00303118613888428,0.00151166166989263,0.00202073936841264,0.00707266487570956,0,0,0,0,0
"SLV","El Salvador",0.23243400024982,0.223466872889772,0.201758576928372,0.185527084095439,0.210871493045787,0.156415202077906,0.130705159491081,0.125802472994131,0.131742586454538,0.127742503042381,0.126037046500581,0.109106744142844,0.0898277003562465,0.0909323465433746,0.0900857080874619,0.0850720173679399,0.0750242851547581,0.063850553858857,0.0500837176719032,0.0492520339515329,0.0464776992498785,0.0404154040583753,0.0323322924121941,0.0303115530437815,0.026674160511626,0
"GNQ","Equatorial Guinea",0.34798104752736,0.34798104752736,0.34798104752736,0.34798104752736,0.34798104752736,0.34798104752736,0.347863568058471,0.347822712337663,0.347834737795108,0.347875901860979,0.347922539051712,0.34795021302109,0.347932251921187,0.347841135955159,0.347649653671222,0.341941955301825,0.342520564811984,0.346198890151213,0.345341459618106,0.34430418682718,0.343116904163249,0.341809675269926,0.340412486704561,0.338955325024501,0.337468176787093,0.335976017942416
"ERI","Eritrea",0.779006913225184,0.760259749254494,0.748951887856317,0.737685248338711,0.726467539328242,0.714801882027933,0.703707337598447,0.685041091080835,0.681724415957022,0.670788572876995,0.659858164378697,0.648908792659044,0.637913785870111,0.626845701301318,0.615677173328349,0.604380836326891,0.592929324672629,0.581295272741247,0.569460835062243,0.557446516582285,0.545282188229323,0.532997952190103,0.520623717935707,0.508189510566616,0.495725316640177,0.48325611210647
"EST","Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
