"ISO3","Name","Value","sign"
"AFG","Afghanistan",-0.00178688543407444,0
"ALB","Albania",-0.00199804718445508,-1
"DZA","Algeria",0.00749832511514212,1
"AND","Andorra",0.0185129093895165,1
"AGO","Angola",0.00897883916527572,1
"ATG","Antigua and Barbuda",-0.00336954801732173,0
"ARG","Argentina",0.0071356979951561,0
"ARM","Armenia",0.00537549562638107,1
"AUS","Australia",-0.00412218576877254,-1
"AUT","Austria",-0.00356532814415486,-1
"AZE","Azerbaijan",0.0033256269432767,0
"BHS","Bahamas",-0.00422504356252338,-1
"BHR","Bahrain",0.00317195197951886,0
"BGD","Bangladesh",0.00400883770074447,1
"BRB","Barbados",0.00234781656551519,0
"BLR","Belarus",0.00747121109520121,0
"BEL","Belgium",-0.00325769334620569,0
"BLZ","Belize",0.000129278709133022,0
"BEN","Benin",0.0061219073998625,1
"BTN","Bhutan",0.00711914334928124,0
"BOL","Bolivia, Plurinational State of",0.0011455940086637,0
"BIH","Bosnia and Herzegovina",-0.00164667652996967,0
"BWA","Botswana",0.00124277032602461,0
"BRA","Brazil",0.000349986039408961,0
"BRN","Brunei Darussalam",0.00761928184832241,1
"BGR","Bulgaria",-0.000283484886779966,0
"BFA","Burkina Faso",0.000803387477695878,0
"BDI","Burundi",0.00120550416428393,0
"KHM","Cambodia",-0.00118538213029008,0
"CMR","Cameroon",-0.000105035877690132,0
"CAN","Canada",-0.00500649772893923,-1
"CPV","Cape Verde",-0.000161297526153201,0
"CAF","Central African Republic",0.00175836339429444,0
"TCD","Chad",0.00305871405446689,1
"CHL","Chile",-0.00347632738347369,-1
"CHN","China",0.022115938738049,1
"COL","Colombia",-0.00106964430807368,0
"COM","Comoros",-0.00365529675103242,0
"COG","Congo",-0.00082779040828341,0
"COD","Congo, the Democratic Republic o",0.00651484108387631,0
"CRI","Costa Rica",-8.03217599314846e-05,0
"CIV","Cote d'Ivoire",0.00711793807425887,1
"HRV","Croatia",-0.000158201097304117,0
"CUB","Cuba",0.00628807439580067,1
"CYP","Cyprus",0.000612784143397292,0
"CZE","Czech Republic",-0.00139181635891978,0
"DNK","Denmark",-0.00364483896766328,0
"DJI","Djibouti",0.00512727830038037,1
"DMA","Dominica",-0.00527380856057707,-1
"DOM","Dominican Republic",-0.00184507893168741,0
"ECU","Ecuador",0.00394754392865912,0
"EGY","Egypt",0.00296438760681116,1
"SLV","El Salvador",-0.000432905197127191,0
"GNQ","Equatorial Guinea",-0.00102201828397115,0
"ERI","Eritrea",0.00206125086940869,0
"EST","Estonia",-0.00259344395230205,0
"ETH","Ethiopia",0.0039833010993092,0
"FJI","Fiji",0.00616090476346634,1
"FIN","Finland",-0.00369791190603741,0
"FRA","France",-0.00100176973411329,0
"GAB","Gabon",-0.00155637234623174,0
"GMB","Gambia",0.00429233468322162,1
"GEO","Georgia",0.0038299099877986,1
"DEU","Germany",-0.00416707935840579,-1
